current,power,timestamp,voltage
0.04,3800.0,1703115914,226.1
0.027,2400.0,1703115920,74
0.032,2100.0,1703115925,95.4
0.025,2300.0,1703115931,94.2
0.03,1900.0,1703115934,226.1
0.026,2000,1703115939,226.1
0.033,2400.0,1703115941,226.1
0.034,2700.0,1703115944,226
0.035,2200.0,1703115946,226.1
0.029,1900.0,1703115948,226.1
0.026,1800.0,1703115950,226.1
0.025,2500.0,1703115952,226.2
0.024,2100.0,1703115954,226.1
0.024,2100.0,1703115956,226.1
0.029,3100.0,1703115959,226.1
0.028,2100.0,1703115961,226.2
0.026,2100.0,1703115966,226.1
0.033,2300.0,1703115969,226.1
0.036,2500.0,1703115971,226.1
0.032,2200.0,1703115973,226.1
0.029,1900.0,1703115975,226.1
0.027,1900.0,1703115977,226.1
0.026,2800.0,1703115979,226.1
0.026,2100.0,1703115981,226.1
0.027,2100.0,1703115983,226.2
0.026,2300.0,1703115986,226.1
0.028,2600.0,1703115988,226.1
0.041,3200.0,1703115990,226.1
0,1800.0,1703115992,226.1
0.025,2000,1703115998,226.1
0.027,2200.0,1703116003,226.1
0.033,2400.0,1703116005,226.1
0.036,2600.0,1703116008,226
0.036,2200.0,1703116010,226.1
0.03,1900.0,1703116012,226.1
0.025,1900.0,1703116014,226.1
0.025,3100.0,1703116016,226.1
0.024,2000,1703116018,226.1
0.026,2100.0,1703116020,226.1
0.028,1800.0,1703116026,83.4
0.032,2300.0,1703116032,94.5
0.025,2500.0,1703116037,93.8
0.029,2400.0,1703116040,226.1
0.025,2000,1703116045,226.1
0.036,2600.0,1703116048,226.1
0.034,2400.0,1703116050,226.1
0.039,2400.0,1703116052,226.1
0.026,2000,1703116054,226.1
0.026,2000,1703116056,226.1
0.028,2000,1703116062,74.1
0.028,1900.0,1703116067,94.9
0.03,2100.0,1703116073,94.3
0.028,1900.0,1703116076,226.1
0.026,2100.0,1703116081,226.1
0.027,2000,1703116087,226.1
0.035,2500.0,1703116089,226
0.024,2000,1703116092,226.1
0.027,2000,1703116097,73.2
0.028,1900.0,1703116103,95
0.024,2000,1703116109,95.2
0.029,2000,1703116112,226.1
0.026,2000,1703116117,226.1
0.034,2300.0,1703116119,226.1
0.036,2800.0,1703116121,225.7
0.028,1800.0,1703116124,225.7
0.034,1800.0,1703116126,225.7
0.026,2100.0,1703116128,225.7
0.028,2100.0,1703116133,73.4
0.029,1900.0,1703116139,92.6
0.029,2100.0,1703116145,91.5
0.029,2700.0,1703116148,222.9
0.025,2800.0,1703116153,222.8
0.036,2200.0,1703116155,222.8
0.036,2400.0,1703116157,222.8
0.033,1900.0,1703116160,222.7
0.029,1800.0,1703116162,222.8
0.026,2500.0,1703116164,222.8
0.025,2000,1703116166,222.8
0.025,2100.0,1703116168,222.7
0.025,2200.0,1703116170,222.8
0.026,2200.0,1703116172,222.7
0.029,3400.0,1703116174,222.7
0.027,2700.0,1703116180,87.8
0.027,2100.0,1703116185,91.4
0.028,1800.0,1703116188,222.7
0.026,2200.0,1703116193,222.8
0.038,2500.0,1703116196,222.8
0.038,2300.0,1703116198,222.8
0.027,2300.0,1703116200,222.8
0.029,2700.0,1703116206,73.5
0.03,2000,1703116211,91.2
0.028,1900.0,1703116217,91.6
0.027,1900.0,1703116220,222.8
0.026,2000,1703116225,222.9
0.029,1800.0,1703116228,222.9
0.029,2000,1703116234,70
0.03,1800.0,1703116239,91.4
0.027,2000,1703116245,91.2
0.032,2500.0,1703116248,222.7
0.025,2800.0,1703116253,222.7
0.037,2400.0,1703116255,222.8
0.032,2500.0,1703116258,222.8
0.026,2100.0,1703116260,222.7
0.03,2200.0,1703116265,72.7
0.028,2000,1703116271,92.1
0.027,2000,1703116277,91.1
0.031,2000,1703116280,222.8
0.026,2100.0,1703116285,222.9
0.037,2200.0,1703116287,222.8
0.032,3300.0,1703116289,222.8
0.026,2700.0,1703116294,222.8
0.027,2100.0,1703116300,222.8
0.036,2200.0,1703116302,222.8
0.032,2300.0,1703116304,222.7
0.029,2400.0,1703116307,222.7
0.027,2100.0,1703116309,222.8
0.027,1800.0,1703116314,70.4
0.03,2100.0,1703116320,91
0.025,1900.0,1703116322,222.8
0.027,2100.0,1703116327,222.8
0.035,3500.0,1703116333,222.8
0.027,2200.0,1703116335,222.7
0.034,2600.0,1703116340,222.8
0.043,3000,1703116342,222.8
0.032,2200.0,1703116346,222.8
0.033,2300.0,1703116347,222.7
0.026,3000,1703116349,222.8
0.024,3400.0,1703116351,222.7
0.03,2100.0,1703116354,66.1
0.027,2200.0,1703116359,75.1
0.03,2200.0,1703116364,74.6
0.032,3200.0,1703116370,222.7
0.027,2200.0,1703116372,79.3
0.026,2100.0,1703116378,75.8
0.025,2300.0,1703116383,74.6
0.028,2600.0,1703116388,222.8
0.033,2100.0,1703116391,78.8
0.033,2000,1703116396,75.3
0.029,2500.0,1703116402,222.9
0.026,2100.0,1703116404,79.4
0.026,2200.0,1703116410,74.6
0.027,3000,1703116415,222.8
0.031,2000,1703116417,79.4
0.031,2000,1703116423,74.8
0.027,2500.0,1703116428,222.8
0.025,2200.0,1703116430,79.1
0.026,2200.0,1703116436,78.3
0.024,2200.0,1703116442,78.2
0.026,2600.0,1703116447,226.1
0.028,2000,1703116449,83.9
0.027,2100.0,1703116455,80.2
0.026,2700.0,1703116460,226.1
0.024,2200.0,1703116462,82.8
0.024,2200.0,1703116468,78.9
0.024,2600.0,1703116473,226
0.026,2100.0,1703116476,83.2
0.026,2200.0,1703116481,78
0.024,2700.0,1703116487,226.1
0.024,2100.0,1703116489,83.5
0.024,2100.0,1703116495,78.1
0.026,2100.0,1703116500,87.1
0.027,3100.0,1703116505,226.1
0.025,2100.0,1703116508,83.1
0.026,2100.0,1703116513,78.5
0.024,2600.0,1703116519,226.1
0.026,2100.0,1703116521,82.4
0.026,2300.0,1703116527,78.9
0.027,2600.0,1703116532,226.1
0.03,2200.0,1703116534,82
0.031,2100.0,1703116540,77.7
0.034,2600.0,1703116545,226.1
0.025,2200.0,1703116547,83.2
0.026,2200.0,1703116553,77.9
0.026,2600.0,1703116558,226.1
0.031,2100.0,1703116561,83.2
0.03,2000,1703116566,77.7
0.028,2700.0,1703116572,226.1
0.026,2200.0,1703116574,82.1
0.026,2200.0,1703116579,78.1
0.025,2700.0,1703116585,226.1
0.032,2000,1703116587,83.2
0.029,2000,1703116593,78.6
0.029,2400.0,1703116598,226.1
0.025,2100.0,1703116600,82.3
0.026,2100.0,1703116606,79.2
0.024,2500.0,1703116611,226.1
0.036,2100.0,1703116613,83.9
0.026,2000,1703116619,78.2
0.027,2100.0,1703116625,78.2
0.024,2600.0,1703116630,226.1
0.024,2200.0,1703116632,82.8
0.024,2200.0,1703116638,78.7
0.024,2800.0,1703116643,226.1
0.024,2100.0,1703116646,81.6
0.025,2100.0,1703116651,78.5
0.027,2900.0,1703116656,226.1
0.024,2100.0,1703116659,82.7
0.025,2200.0,1703116664,78.5
0.028,2500.0,1703116670,226.1
0.024,2100.0,1703116672,82.3
0.025,2100.0,1703116678,78.3
0.024,2200.0,1703116683,78.6
0.027,2500.0,1703116688,226.1
0.026,2100.0,1703116691,83
0.026,2200.0,1703116696,78.2
0.026,2600.0,1703116702,226.1
0.025,2200.0,1703116704,84.1
0.028,2200.0,1703116710,78.2
0.024,2800.0,1703116715,226.1
0.025,2100.0,1703116717,82.7
0.024,2100.0,1703116723,78.6
0.027,2800.0,1703116728,226.1
0.025,2200.0,1703116730,84.2
0.026,2100.0,1703116736,79.6
0.025,2300.0,1703116742,78.7
0.026,2700.0,1703116747,226.1
0.026,2100.0,1703116749,84.3
0.029,2100.0,1703116755,78
0.027,3100.0,1703116760,226.1
0.024,2200.0,1703116763,83.4
0.026,2100.0,1703116768,78.9
0.026,2500.0,1703116773,226.2
0.026,2100.0,1703116776,82.1
0.03,2000,1703116781,78.4
0.031,2600.0,1703116787,226.2
0.026,2100.0,1703116789,83.4
0.025,2200.0,1703116795,78.8
0.026,2100.0,1703116800,87.3
0.027,2700.0,1703116805,226.2
0.032,2200.0,1703116808,83.2
0.032,2000,1703116813,78.5
0.031,2700.0,1703116819,226.2
0.024,2200.0,1703116821,82.5
