Epoch,Step,Training Loss
1,1,26.002941
1,2,25.925436
1,3,29.153776
1,4,23.27684
1,5,32.52666
1,6,30.76791
1,7,-16.332542
1,8,32.246155
1,9,32.702244
1,10,15.574834
1,11,30.96971
1,12,19.36823
1,13,30.242018
1,14,32.01953
1,15,28.897676
1,16,25.006264
1,17,22.455336
1,18,29.71069
1,19,31.726244
1,20,21.424736
1,21,27.222244
1,22,23.333818
1,23,27.46877
1,24,28.75961
1,25,25.821106
1,26,28.770388
1,27,20.85648
1,28,22.347836
1,29,26.531729
1,30,29.323637
1,31,-0.10255127
1,32,28.944113
1,33,-8.1150255
1,34,25.970428
1,35,22.148308
1,36,26.847845
1,37,-22.169573
1,38,26.160633
1,39,24.525734
1,40,23.075737
1,41,25.31557
1,42,-73.76846
1,43,-47831.844
1,44,-31.264744
1,45,-246.17862
1,46,20.948835
1,47,14.641996
1,48,22.63775
1,49,13.152614
1,50,19.0596
1,51,-218.02594
1,52,16.961784
1,53,9.594108
1,54,8.69751
1,55,21.036396
1,56,-206.04437
1,57,18.265024
1,58,-6061.534
1,59,13.877347
1,60,14.784088
1,61,-5.2386904
1,62,13.818643
1,63,12.166586
1,64,15.640336
1,65,13.23173
1,66,-14.298158
1,67,13.915993
1,68,-67.99978
1,69,-15.525412
1,70,8.082551
1,71,11.624064
1,72,8.583015
1,73,5.4758515
1,74,3.8679504
1,75,-2.7075293
1,76,4.5581126
1,77,-5.9992676
1,78,-69.22382
1,79,1.4165074
1,80,-5.06374
1,81,-19.075256
1,82,-0.46644658
1,83,-2.2617078
1,84,-1.9469119
1,85,-4.2297277
1,86,-52.735443
1,87,-8.372568
1,88,-10.207231
1,89,-9.830238
1,90,-13.135019
1,91,-12303.637
1,92,-13.480845
1,93,-13.208575
1,94,-16.169886
1,95,-44828612.0
1,96,-47.138573
1,97,-19.330584
1,98,-23.7068
1,99,-23.45144
1,100,-25.504562
1,101,-21.96095
1,102,-25.26423
1,103,-22.873304
1,104,-28.11265
1,105,-27.311228
1,106,-66.65004
1,107,-38.17658
