Sun Jan 14 14:27:52 UTC 2024
RAM 1476/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [11%@1132,53%@1132,2%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@45C PMIC@100C GPU@39.5C AO@50C thermal@42.5C POM_5V_IN 2058/2058 POM_5V_GPU 85/85 POM_5V_CPU 428/428
RAM 1500/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,100%@1132,1%@1132,36%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@45.5C PMIC@100C GPU@40C AO@50C thermal@42.75C POM_5V_IN 2855/2456 POM_5V_GPU 85/85 POM_5V_CPU 1108/768
RAM 1518/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [18%@1132,41%@1132,69%@1132,49%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42.5C POM_5V_IN 2479/2464 POM_5V_GPU 85/85 POM_5V_CPU 769/768
RAM 1540/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [51%@1132,5%@1132,100%@1132,7%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2813/2551 POM_5V_GPU 85/85 POM_5V_CPU 1150/863
RAM 1562/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [70%@1132,10%@1132,100%@1132,12%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.5C POM_5V_IN 2813/2603 POM_5V_GPU 85/85 POM_5V_CPU 1065/904
RAM 1591/3964MB (lfb 12x2MB) SWAP 209/1982MB (cached 16MB) CPU [65%@1132,29%@1132,99%@1132,8%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@45.5C PMIC@100C GPU@41C AO@50C thermal@43.25C POM_5V_IN 3272/2715 POM_5V_GPU 84/84 POM_5V_CPU 1442/993
RAM 1561/3964MB (lfb 14x2MB) SWAP 209/1982MB (cached 16MB) CPU [28%@1132,41%@1132,100%@1132,37%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@43.25C POM_5V_IN 2394/2669 POM_5V_GPU 85/84 POM_5V_CPU 769/961
RAM 1585/3964MB (lfb 13x2MB) SWAP 209/1982MB (cached 16MB) CPU [59%@1132,11%@1132,100%@1132,14%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2936/2702 POM_5V_GPU 85/84 POM_5V_CPU 1021/969
RAM 1594/3964MB (lfb 13x2MB) SWAP 209/1982MB (cached 16MB) CPU [35%@1132,9%@1132,100%@1132,9%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.75C POM_5V_IN 2351/2663 POM_5V_GPU 85/84 POM_5V_CPU 726/942
RAM 1617/3964MB (lfb 13x2MB) SWAP 209/1982MB (cached 16MB) CPU [2%@1132,0%@1132,100%@1132,58%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42.5C POM_5V_IN 2898/2686 POM_5V_GPU 85/84 POM_5V_CPU 1191/966
RAM 1618/3964MB (lfb 13x2MB) SWAP 209/1982MB (cached 16MB) CPU [18%@1132,4%@1132,100%@1132,22%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40C AO@50C thermal@42.25C POM_5V_IN 2479/2668 POM_5V_GPU 85/84 POM_5V_CPU 769/948
