Epoch,Step,Training Loss
1,1,-2761500700000.0
1,2,-55221076000.0
1,3,-114107360000.0
1,4,-9864002000.0
1,5,-1552264700.0
1,6,-88835820000000.0
1,7,-15598331000.0
1,8,-27068473000.0
1,9,-100032570000.0
1,10,-81455440000000.0
1,11,-226996540.0
1,12,-48430800000.0
1,13,-113257240000.0
1,14,-44512294000000.0
1,15,-33344900.0
1,16,-95212810000.0
1,17,-9033846000000.0
1,18,-59148095000.0
1,19,-564275800000000.0
1,20,-48534190000.0
1,21,-1175255300.0
1,22,-3673455600.0
1,23,-1.3573464e+16
1,24,-33653090000.0
1,25,-216464540000000.0
1,26,-15641839000.0
1,27,-462186900000.0
1,28,-1913900000.0
1,29,-29055880000000.0
1,30,-18847631000000.0
1,31,-43739906000.0
1,32,-37043642000.0
1,33,-3899278300.0
1,34,-34905843000000.0
1,35,-576329600.0
1,36,-4945990000000.0
1,37,-80913440.0
1,38,-190823170.0
1,39,-1320549900.0
1,40,-21336273000000.0
1,41,-4785094000.0
1,42,-804325200.0
1,43,-44971200000.0
1,44,-37610670000.0
1,45,-468669630000.0
1,46,-6355552000.0
1,47,-55544127000.0
1,48,-2.570462e+16
1,49,-6291224000.0
1,50,-89972900000000.0
1,51,-91405170000.0
1,52,-44108956000.0
1,53,-19767850000.0
1,54,-43246520000.0
1,55,-97713090000000.0
1,56,-17474750000.0
1,57,-73237990000.0
1,58,-20612863000000.0
1,59,-370695170.0
1,60,-64812425000.0
1,61,-62384775000.0
1,62,-2593591800.0
1,63,-183526940000000.0
1,64,-91257340000.0
1,65,-7877684700.0
1,66,-165914200000.0
1,67,-33751564.0
1,68,-1238230300000000.0
1,69,-141866610000.0
1,70,-10173515000.0
1,71,-109466740000.0
1,72,-230848250000.0
1,73,-2652320000000.0
1,74,-65415414000.0
1,75,-269959480000.0
1,76,-5546951300000.0
1,77,-414043570000.0
1,78,-3619208700.0
1,79,-109080210000.0
1,80,-521667800000.0
1,81,-79162890000.0
1,82,-13427661000.0
1,83,-648794700000.0
1,84,-3103749800000.0
1,85,-39730328000.0
1,86,-1993545200000.0
1,87,-13745851000.0
1,88,-3193405200000.0
1,89,-672281700000.0
1,90,-835908340000.0
1,91,-27569882000000.0
1,92,-147696290000.0
1,93,-222592160.0
1,94,-96717690.0
1,95,-4319689800000.0
1,96,-1248019200000.0
1,97,-5302595000.0
1,98,-20576907000000.0
1,99,-4618942000000.0
1,100,-40786666000000.0
1,101,-7795817000.0
1,102,-1446595500000.0
1,103,-501562740000.0
1,104,-38520443000.0
1,105,-5862383000.0
1,106,-2216610600.0
1,107,-560071600000000.0
1,108,-17405028000.0
1,109,-77329450000000.0
1,110,-5580506600.0
1,111,-30013479000.0
1,112,-122590240000000.0
1,113,-299870000000.0
1,114,-4189160000.0
1,115,-2217002000.0
1,116,-108673790000000.0
1,117,-72067170000000.0
1,118,-57682100000000.0
1,119,-103085420000.0
1,120,-5641144000.0
1,121,-100145990000000.0
1,122,-44928230000.0
1,123,-13698909000.0
1,124,-6551931700000.0
1,125,-55302095000.0
1,126,-12264795000000.0
1,127,-25542263000.0
1,128,-109272810.0
1,129,-30536474.0
1,130,-149375910000.0
1,131,-876154900000.0
1,132,-30383444000.0
1,133,-1220799900.0
1,134,-273917430000000.0
1,135,-169635630000.0
1,136,-99911710000000.0
1,137,-5342763500.0
1,138,-303434900000000.0
1,139,-8240266000000.0
1,140,-134799690000.0
1,141,-1345130100.0
1,142,-92260690000.0
1,143,-32588620000.0
1,144,-321260940000000.0
1,145,-5456148500.0
1,146,-4530470000000.0
1,147,-21029548000000.0
1,148,-1202588500000.0
1,149,-338010600000.0
1,150,-25839639000.0
1,151,-18496106000.0
1,152,-56387440000000.0
1,153,-258267640000000.0
1,154,-10488873000.0
1,155,-363937820000.0
1,156,-60129063000.0
1,157,-103420100000.0
1,158,-13824915000.0
1,159,-2355159300000000.0
1,160,-24742107000.0
1,161,-8782537000.0
1,162,-47271170000000.0
1,163,-28831240000.0
1,164,-10506820000000.0
1,165,-1174610900000.0
1,166,-100556960000.0
1,167,-330151530000.0
1,168,-68082750000.0
1,169,-137338650000.0
1,170,-48125200000.0
1,171,-664608900000.0
1,172,-20131220000.0
1,173,-149262810000000.0
1,174,-9975114000.0
1,175,-191203500000.0
1,176,-39363228000.0
1,177,-173822330000.0
1,178,-7136766500.0
1,179,-76911985000.0
1,180,-11438428000000.0
1,181,-141642600000.0
1,182,-28657964000000.0
1,183,-537591020000000.0
1,184,-89416270000.0
1,185,-607884540000.0
1,186,-688828600000.0
1,187,-36446077000.0
1,188,-4087008200000.0
1,189,-37354070000.0
1,190,-233777300000.0
1,191,-4113568800.0
1,192,-57227858000.0
1,193,-1829875000000.0
1,194,-686194050.0
1,195,-121053766000.0
1,196,-256313520000.0
1,197,-115457790000.0
1,198,-104731664000.0
1,199,-2.1100388e+16
1,200,-20106938000.0
1,201,-36783866000000.0
1,202,-1023196800.0
1,203,-8002021000.0
1,204,-3044698600.0
1,205,-548053880000.0
1,206,-2126980000.0
1,207,-233145640000000.0
1,208,-110045990000.0
1,209,-50587910000.0
1,210,-20836250000.0
1,211,-277734730000000.0
1,212,-281866900000.0
1,213,-1712033200.0
1,214,-2485598200000000.0
1,215,-890786200.0
1,216,-4505087000.0
1,217,-97670260000.0
1,218,-295321000.0
1,219,-15686649000.0
1,220,-193490080000.0
1,221,-68074250000.0
1,222,-608933500.0
1,223,-178074480000.0
1,224,-1735537400.0
1,225,-37567097000000.0
1,226,-65919456000000.0
1,227,-10634842000.0
1,228,-75664670000.0
1,229,-35052170.0
1,230,-151681180000000.0
1,231,-79538364000.0
1,232,-36059374000.0
1,233,-129025606000.0
1,234,-187140240000.0
1,235,-49642545000.0
1,236,-4311781000000.0
1,237,-3066957400000.0
1,238,-265923540000.0
1,239,-102906946000.0
1,240,-97946980000.0
1,241,-3422727000.0
1,242,-338880270000.0
1,243,-498300160.0
1,244,-277330330000.0
1,245,-17890611000.0
1,246,-122140836000.0
1,247,-22581374000000.0
1,248,-439399150000.0
1,249,-40861573000.0
1,250,-2288071500000.0
1,251,-35248142000000.0
1,252,-1730778000.0
1,253,-100434420000000.0
1,254,-116868280000.0
1,255,-105954980000.0
1,256,-20125805000.0
1,257,-23904160000000.0
1,258,-407156100000.0
1,259,-109897000000.0
1,260,-133726085000.0
1,261,-243008710000000.0
1,262,-68638960000.0
1,263,-11612496000.0
1,264,-206805220000.0
1,265,-15398337000.0
1,266,-42825610000.0
1,267,-4468272000.0
1,268,-171175120000.0
1,269,-47866576000000.0
1,270,-7744973700000.0
1,271,-725549450000.0
1,272,-403673900000.0
1,273,-6942138300000.0
1,274,-26886928000.0
1,275,-243380540000.0
1,276,-162116240000.0
1,277,-2801719800000.0
1,278,-216973940.0
1,279,-386665580000.0
1,280,-184946970000.0
1,281,-207732830000.0
1,282,-7980774400.0
1,283,-9925224000.0
1,284,-48847560000.0
1,285,-93800000000.0
1,286,-27632650000000.0
1,287,-16038855000.0
1,288,-157038540000.0
1,289,-19508754000000.0
1,290,-1174143100.0
1,291,-379308060000000.0
1,292,-351423200000000.0
1,293,-8211993000000.0
1,294,-12918605000000.0
1,295,-68053705000.0
1,296,-8902470000.0
1,297,-61055922000.0
1,298,-13297831000.0
1,299,-6540141000000.0
1,300,-25747098000.0
1,301,-14034447000.0
1,302,-1078311060000.0
1,303,-58499547000.0
1,304,-74575910000000.0
1,305,-5557619700.0
1,306,-8446219000000.0
1,307,-312939440000000.0
1,308,-259820180000.0
1,309,-16849712000.0
1,310,-52866940000.0
